"nge_object_id","field_search_id","sport_name","description","image_url","detect_confidence","predicted_field_type","predicted_sport","predicted_field_type_probability","predicted_sport_type_probability","predicted_large_field_type","predicted_large_sport","large_predicted_field_type_probability","large_predicted_sport_type_probability","detected_sport"
923,9745,"Baseball","box: (x1, y1) = (205,197), (x2, y2) = (289,2), width = 84 height = 82 image: width = 640, height = 640 original_ground_resolution = 0.4025470457012116, new ground_resolution = 0.40254704254289836 new_gps_location: 47.6160828854891, -122.31930797833746","https://earth.google.com/web/@47.6160828854891,-122.31930797833746,4.1972381a,15000d","0.88","Turf","Soccer","1","0.990623891353607","Synthetic","Basketball","0.608800113201141","0.69462788105011","Baseball"
808,9747,"Soccer","box: (x1, y1) = (183,147), (x2, y2) = (430,2), width = 247 height = 348 image: width = 640, height = 640 original_ground_resolution = 0.40283800701549916, new ground_resolution = 0.40283800385490326 new_gps_location: 47.578074558842246, -122.38536366257502","https://earth.google.com/web/@47.578074558842246,-122.38536366257502,4.1972381a,15000d","0.86, 0.84","Turf","Soccer","1","1","Synthetic","Basketball","0.990836620330811","0.968854069709778","Tennis, Soccer"
809,9747,"Tennis","box: (x1, y1) = (356,49), (x2, y2) = (384,2), width = 28 height = 60 image: width = 640, height = 640 original_ground_resolution = 0.40283800701549916, new ground_resolution = 0.40283800385490326 new_gps_location: 47.57866531569898, -122.38513206223205","https://earth.google.com/web/@47.57866531569898,-122.38513206223205,4.1972381a,15000d","0.89, 0.86, 0.56","Grass","Soccer","0.993451714515686","0.991193830966949","Synthetic","Basketball","0.986271262168884","0.921405076980591","Tennis, Baseball, Soccer"
924,9747,"Soccer","box: (x1, y1) = (183,147), (x2, y2) = (430,2), width = 247 height = 348 image: width = 640, height = 640 original_ground_resolution = 0.40283800701549916, new ground_resolution = 0.40283800385490326 new_gps_location: 47.578074558842246, -122.38536366257502","https://earth.google.com/web/@47.578074558842246,-122.38536366257502,4.1972381a,15000d","0.86, 0.84","Turf","Soccer","1","1","Synthetic","Basketball","0.990836620330811","0.968854069709778","Tennis, Soccer"
925,9747,"Tennis","box: (x1, y1) = (356,49), (x2, y2) = (384,2), width = 28 height = 60 image: width = 640, height = 640 original_ground_resolution = 0.40283800701549916, new ground_resolution = 0.40283800385490326 new_gps_location: 47.57866531569898, -122.38513206223205","https://earth.google.com/web/@47.57866531569898,-122.38513206223205,4.1972381a,15000d","0.89, 0.86, 0.56","Grass","Soccer","0.993451714515686","0.991193830966949","Synthetic","Basketball","0.986271262168884","0.921405076980591","Tennis, Baseball, Soccer"
810,9748,"Baseball","box: (x1, y1) = (248,317), (x2, y2) = (364,2), width = 116 height = 115 image: width = 640, height = 640 original_ground_resolution = 0.40273493690567397, new ground_resolution = 0.40273493374588665 new_gps_location: 47.59134024476624, -122.33263384961249","https://earth.google.com/web/@47.59134024476624,-122.33263384961249,4.1972381a,15000d","0.93, 0.64","Grass","Soccer","0.913185715675354","0.911155641078949","Grass","Soccer","0.999286592006683","0.948265075683594","Stadium, Baseball"
811,9748,"Stadium","box: (x1, y1) = (148,76), (x2, y2) = (538,2), width = 390 height = 496 image: width = 640, height = 640 original_ground_resolution = 0.40273493690567397, new ground_resolution = 0.40273493374588665 new_gps_location: 47.591462240364436, -122.33249998992234","https://earth.google.com/web/@47.591462240364436,-122.33249998992234,4.1972381a,15000d","0.94, 0.53","Turf","Baseball","0.989498019218445","0.714564919471741","Grass","Soccer","0.998718738555908","0.962765455245972","Stadium, Baseball"
926,9748,"Baseball","box: (x1, y1) = (248,317), (x2, y2) = (364,2), width = 116 height = 115 image: width = 640, height = 640 original_ground_resolution = 0.40273493690567397, new ground_resolution = 0.40273493374588665 new_gps_location: 47.59134024476624, -122.33263384961249","https://earth.google.com/web/@47.59134024476624,-122.33263384961249,4.1972381a,15000d","0.93, 0.64","Grass","Soccer","0.913185715675354","0.911155641078949","Grass","Soccer","0.999286592006683","0.948265075683594","Stadium, Baseball"
927,9748,"Stadium","box: (x1, y1) = (148,76), (x2, y2) = (538,2), width = 390 height = 496 image: width = 640, height = 640 original_ground_resolution = 0.40273493690567397, new ground_resolution = 0.40273493374588665 new_gps_location: 47.591462240364436, -122.33249998992234","https://earth.google.com/web/@47.591462240364436,-122.33249998992234,4.1972381a,15000d","0.94, 0.53","Turf","Baseball","0.989498019218445","0.714564919471741","Grass","Soccer","0.998718738555908","0.962765455245972","Stadium, Baseball"
812,9750,"Baseball","box: (x1, y1) = (368,402), (x2, y2) = (483,2), width = 115 height = 113 image: width = 640, height = 640 original_ground_resolution = 0.4029639465652271, new ground_resolution = 0.4029639434036431 new_gps_location: 47.56136890848286, -122.28592291189722","https://earth.google.com/web/@47.56136890848286,-122.28592291189722,4.1972381a,15000d","0.96, 0.89, 0.86, 0.89, 0.89, 0.80","Grass","Baseball","0.733266294002533","0.618424654006958","Grass","Soccer","0.999805271625519","0.906270682811737","Tennis, Baseball"
